,Future Connection
"(241, 917)",0.0
"(295, 819)",0.0
"(111, 639)",0.0
"(304, 539)",0.0
"(692, 917)",0.0
"(269, 893)",0.0
"(432, 783)",0.0
"(420, 709)",0.0
"(697, 924)",0.0
"(742, 969)",0.0
"(433, 966)",0.0
"(557, 744)",0.0
"(231, 798)",0.0
"(83, 777)",0.0
"(737, 893)",0.0
"(163, 1002)",0.0
"(207, 397)",0.0
"(434, 890)",0.0
"(40, 654)",0.0
"(378, 505)",0.0
"(296, 446)",0.0
"(203, 782)",0.0
"(409, 681)",0.0
"(378, 714)",0.0
"(499, 554)",0.0
"(99, 968)",0.0
"(50, 965)",0.0
"(38, 918)",0.0
"(512, 515)",0.0
"(618, 837)",0.0
"(195, 864)",0.0
"(218, 397)",0.0
"(324, 345)",0.0
"(185, 777)",0.0
"(836, 980)",0.0
"(717, 993)",0.0
"(129, 383)",0.0
"(19, 130)",0.0
"(131, 623)",1.0
"(541, 595)",0.0
"(126, 728)",0.0
"(891, 909)",0.0
"(459, 477)",0.0
"(496, 796)",0.0
"(363, 935)",0.0
"(906, 926)",0.0
"(547, 822)",0.0
"(449, 541)",0.0
"(201, 778)",0.0
"(124, 910)",0.0
"(291, 792)",0.0
"(276, 935)",0.0
"(281, 795)",0.0
"(65, 270)",1.0
"(790, 1003)",0.0
"(557, 770)",0.0
"(804, 948)",0.0
"(414, 476)",0.0
"(723, 804)",0.0
"(343, 851)",1.0
"(164, 416)",0.0
"(46, 804)",0.0
"(661, 816)",0.0
"(71, 133)",0.0
"(504, 676)",0.0
"(276, 889)",0.0
"(312, 895)",0.0
"(461, 962)",0.0
"(526, 724)",0.0
"(418, 773)",0.0
"(375, 398)",0.0
"(365, 849)",0.0
"(560, 564)",0.0
"(486, 823)",0.0
"(488, 627)",0.0
"(497, 731)",0.0
"(374, 988)",0.0
"(727, 865)",0.0
"(259, 294)",0.0
"(220, 496)",0.0
"(158, 989)",0.0
"(250, 922)",0.0
"(80, 909)",0.0
"(104, 975)",0.0
"(236, 735)",0.0
"(533, 911)",0.0
"(102, 720)",0.0
"(116, 983)",0.0
"(726, 979)",0.0
"(490, 959)",0.0
"(159, 925)",0.0
"(71, 609)",0.0
"(228, 774)",0.0
"(477, 991)",0.0
"(443, 667)",0.0
"(125, 832)",0.0
"(424, 699)",0.0
"(532, 703)",0.0
"(519, 902)",0.0
"(209, 741)",0.0
"(714, 743)",0.0
"(101, 201)",0.0
"(257, 642)",0.0
"(71, 969)",0.0
"(757, 959)",0.0
"(25, 516)",0.0
"(72, 462)",0.0
"(80, 297)",0.0
"(365, 395)",0.0
"(266, 537)",0.0
"(568, 707)",0.0
"(70, 688)",0.0
"(130, 751)",0.0
"(126, 926)",0.0
"(650, 982)",0.0
"(585, 770)",0.0
"(693, 880)",0.0
"(69, 666)",0.0
"(305, 612)",0.0
"(287, 998)",0.0
"(43, 428)",0.0
"(75, 307)",0.0
"(374, 417)",0.0
"(55, 777)",0.0
"(408, 644)",0.0
"(56, 549)",0.0
"(81, 640)",0.0
"(23, 263)",1.0
"(109, 481)",0.0
"(488, 934)",0.0
"(74, 99)",0.0
"(872, 950)",0.0
"(57, 934)",0.0
"(471, 640)",0.0
"(145, 672)",0.0
"(202, 599)",0.0
"(505, 703)",0.0
"(333, 803)",0.0
"(680, 745)",0.0
"(461, 864)",0.0
"(323, 973)",0.0
"(895, 896)",0.0
"(561, 832)",0.0
"(721, 981)",0.0
"(604, 615)",0.0
"(725, 889)",0.0
"(70, 978)",0.0
"(338, 630)",0.0
"(273, 404)",0.0
"(470, 811)",0.0
"(194, 354)",0.0
"(249, 668)",0.0
"(40, 84)",1.0
"(516, 674)",0.0
"(766, 993)",0.0
"(467, 682)",0.0
"(560, 996)",0.0
"(333, 819)",0.0
"(121, 580)",0.0
"(164, 733)",1.0
"(657, 810)",0.0
"(366, 504)",0.0
"(88, 590)",0.0
"(175, 884)",0.0
"(211, 920)",0.0
"(759, 854)",0.0
"(655, 710)",0.0
"(199, 766)",0.0
"(295, 650)",0.0
"(67, 827)",0.0
"(112, 962)",0.0
"(16, 244)",0.0
"(761, 990)",0.0
"(281, 1001)",1.0
"(116, 749)",0.0
"(127, 607)",0.0
"(418, 458)",0.0
"(105, 338)",1.0
"(98, 694)",0.0
"(153, 709)",0.0
"(293, 768)",0.0
"(307, 639)",0.0
"(794, 798)",0.0
"(32, 777)",0.0
"(72, 477)",0.0
"(115, 275)",0.0
"(218, 345)",0.0
"(285, 709)",0.0
"(439, 815)",0.0
"(427, 429)",0.0
"(403, 768)",0.0
"(671, 857)",0.0
"(729, 916)",0.0
"(151, 362)",0.0
"(156, 426)",0.0
"(440, 496)",0.0
"(31, 71)",0.0
"(382, 992)",0.0
"(224, 712)",0.0
"(388, 618)",0.0
"(229, 400)",0.0
"(209, 740)",0.0
"(560, 933)",0.0
"(104, 939)",0.0
"(373, 383)",0.0
"(274, 977)",0.0
"(692, 802)",0.0
"(774, 868)",0.0
"(330, 338)",1.0
"(537, 758)",1.0
"(147, 186)",1.0
"(568, 991)",0.0
"(437, 738)",0.0
"(180, 751)",0.0
"(867, 994)",1.0
"(52, 967)",0.0
"(161, 277)",0.0
"(671, 684)",0.0
"(9, 390)",0.0
"(676, 714)",0.0
"(761, 883)",0.0
"(132, 950)",0.0
"(518, 699)",0.0
"(261, 838)",0.0
"(488, 802)",0.0
"(68, 595)",0.0
"(268, 358)",0.0
"(62, 219)",1.0
"(338, 381)",0.0
"(257, 924)",0.0
"(243, 660)",0.0
"(418, 556)",0.0
"(495, 732)",0.0
"(339, 624)",0.0
"(301, 431)",0.0
"(816, 877)",0.0
"(428, 504)",0.0
"(505, 615)",0.0
"(319, 541)",1.0
"(141, 597)",1.0
"(293, 484)",0.0
"(655, 795)",0.0
"(3, 219)",0.0
"(408, 920)",0.0
"(661, 694)",0.0
"(367, 859)",1.0
"(156, 634)",0.0
"(511, 899)",0.0
"(541, 690)",0.0
"(586, 683)",0.0
"(349, 734)",0.0
"(59, 235)",0.0
"(51, 495)",1.0
"(693, 775)",0.0
"(6, 942)",0.0
"(281, 644)",0.0
"(88, 963)",0.0
"(90, 171)",0.0
"(251, 979)",0.0
"(608, 681)",0.0
"(462, 782)",0.0
"(58, 436)",1.0
"(165, 442)",1.0
"(381, 765)",0.0
"(478, 869)",0.0
"(147, 717)",0.0
"(464, 699)",0.0
"(58, 867)",0.0
"(441, 849)",0.0
"(813, 908)",0.0
"(72, 679)",0.0
"(574, 696)",0.0
"(418, 573)",0.0
"(82, 253)",1.0
"(206, 703)",0.0
"(477, 876)",0.0
"(324, 840)",0.0
"(989, 998)",0.0
"(216, 768)",0.0
"(513, 676)",0.0
"(500, 564)",0.0
"(410, 881)",0.0
"(351, 846)",0.0
"(384, 956)",0.0
"(157, 437)",0.0
"(855, 987)",0.0
"(204, 996)",0.0
"(242, 681)",0.0
"(75, 243)",0.0
"(161, 833)",0.0
"(145, 148)",0.0
"(706, 774)",0.0
"(234, 535)",0.0
"(180, 704)",0.0
"(619, 792)",0.0
"(10, 593)",0.0
"(322, 564)",0.0
"(850, 964)",0.0
"(25, 925)",0.0
"(137, 839)",0.0
"(596, 993)",0.0
"(91, 552)",0.0
"(296, 819)",0.0
"(492, 960)",0.0
"(266, 463)",0.0
"(564, 776)",0.0
"(422, 852)",0.0
"(579, 1004)",0.0
"(231, 565)",0.0
"(170, 433)",0.0
"(570, 752)",0.0
"(123, 823)",0.0
"(340, 376)",0.0
"(503, 756)",0.0
"(648, 869)",0.0
"(359, 900)",0.0
"(286, 894)",0.0
"(46, 829)",0.0
"(204, 559)",0.0
"(76, 879)",0.0
"(345, 850)",0.0
"(87, 671)",1.0
"(425, 890)",0.0
"(44, 695)",1.0
"(171, 340)",1.0
"(118, 998)",0.0
"(269, 728)",0.0
"(101, 292)",0.0
"(308, 321)",1.0
"(219, 865)",0.0
"(187, 218)",1.0
"(303, 994)",0.0
"(702, 848)",0.0
"(68, 935)",0.0
"(751, 790)",0.0
"(23, 752)",0.0
"(374, 840)",0.0
"(371, 933)",0.0
"(39, 173)",0.0
"(60, 402)",0.0
"(531, 635)",0.0
"(214, 473)",0.0
"(647, 822)",0.0
"(579, 642)",0.0
"(267, 544)",0.0
"(303, 455)",1.0
"(238, 668)",0.0
"(276, 314)",0.0
"(502, 512)",0.0
"(410, 792)",0.0
"(373, 909)",0.0
"(409, 769)",0.0
"(171, 920)",0.0
"(108, 995)",0.0
"(97, 155)",0.0
"(890, 905)",0.0
"(53, 451)",0.0
"(310, 922)",0.0
"(145, 244)",1.0
"(596, 779)",0.0
"(16, 339)",0.0
"(305, 852)",0.0
"(448, 772)",0.0
"(357, 869)",0.0
"(197, 634)",0.0
"(286, 394)",0.0
"(270, 767)",0.0
"(58, 666)",0.0
"(241, 940)",0.0
"(616, 757)",0.0
"(759, 942)",0.0
"(278, 618)",0.0
"(501, 661)",0.0
"(197, 519)",0.0
"(328, 818)",0.0
"(262, 452)",0.0
"(631, 701)",0.0
"(46, 543)",0.0
"(342, 419)",1.0
"(73, 277)",0.0
"(542, 680)",0.0
"(478, 659)",0.0
"(471, 660)",0.0
"(218, 971)",0.0
"(61, 115)",1.0
"(162, 626)",0.0
"(344, 853)",0.0
"(495, 743)",0.0
"(248, 579)",0.0
"(240, 305)",0.0
"(68, 939)",0.0
"(263, 421)",0.0
"(81, 284)",0.0
"(531, 791)",0.0
"(459, 954)",0.0
"(98, 455)",0.0
"(157, 262)",1.0
"(166, 928)",1.0
"(271, 354)",0.0
"(273, 889)",0.0
"(844, 987)",0.0
"(239, 629)",0.0
"(18, 828)",0.0
"(276, 982)",0.0
"(252, 479)",0.0
"(95, 216)",1.0
"(850, 931)",0.0
"(573, 593)",0.0
"(418, 968)",1.0
"(184, 764)",0.0
"(16, 394)",0.0
"(219, 871)",0.0
"(233, 484)",1.0
"(20, 945)",0.0
"(148, 779)",0.0
"(20, 498)",0.0
"(699, 910)",0.0
"(639, 693)",0.0
"(446, 695)",0.0
"(181, 925)",0.0
"(237, 655)",0.0
"(585, 775)",0.0
"(221, 716)",0.0
"(22, 551)",0.0
"(31, 697)",0.0
"(719, 926)",0.0
"(151, 556)",0.0
"(319, 715)",0.0
"(266, 595)",0.0
"(230, 661)",0.0
"(302, 817)",0.0
"(292, 346)",1.0
"(30, 70)",0.0
"(722, 831)",0.0
"(373, 640)",0.0
"(8, 24)",0.0
"(64, 692)",0.0
"(590, 853)",0.0
"(143, 907)",0.0
"(926, 975)",0.0
"(290, 838)",0.0
"(501, 734)",0.0
"(29, 506)",0.0
"(222, 508)",0.0
"(363, 957)",0.0
"(738, 881)",0.0
"(283, 779)",0.0
"(157, 730)",0.0
"(814, 986)",0.0
"(623, 662)",0.0
"(252, 976)",0.0
"(517, 598)",0.0
"(588, 726)",0.0
"(174, 867)",0.0
"(117, 501)",0.0
"(407, 899)",0.0
"(167, 503)",0.0
"(233, 449)",0.0
"(384, 869)",0.0
"(153, 551)",0.0
"(282, 511)",0.0
"(463, 933)",0.0
"(547, 994)",0.0
"(287, 934)",0.0
"(391, 749)",0.0
"(344, 787)",0.0
"(130, 624)",0.0
"(4, 666)",0.0
"(489, 774)",0.0
"(108, 594)",0.0
"(596, 862)",0.0
"(240, 954)",0.0
"(9, 451)",1.0
"(113, 562)",0.0
"(311, 925)",0.0
"(452, 639)",0.0
"(227, 306)",0.0
"(536, 900)",0.0
"(287, 690)",1.0
"(167, 630)",0.0
"(882, 1003)",1.0
"(659, 667)",0.0
"(72, 752)",0.0
"(150, 154)",0.0
"(13, 844)",0.0
"(587, 730)",0.0
"(392, 904)",0.0
"(348, 691)",0.0
"(242, 611)",0.0
"(38, 482)",0.0
"(455, 977)",0.0
"(510, 592)",0.0
"(454, 707)",0.0
"(67, 702)",0.0
"(88, 993)",0.0
"(199, 349)",0.0
"(115, 528)",0.0
"(732, 947)",1.0
"(666, 737)",1.0
"(123, 877)",0.0
"(184, 456)",0.0
"(702, 913)",0.0
"(224, 627)",0.0
"(384, 714)",0.0
"(811, 955)",0.0
"(655, 694)",0.0
"(318, 714)",0.0
"(197, 632)",0.0
"(65, 451)",1.0
"(583, 715)",0.0
"(148, 408)",0.0
"(399, 779)",1.0
"(33, 610)",0.0
"(179, 236)",0.0
"(514, 762)",0.0
"(54, 794)",0.0
"(314, 553)",0.0
"(528, 759)",0.0
"(866, 1000)",0.0
"(215, 957)",0.0
"(186, 339)",0.0
"(654, 837)",0.0
"(431, 906)",0.0
"(638, 724)",0.0
"(545, 773)",0.0
"(179, 978)",0.0
"(554, 563)",0.0
"(247, 380)",0.0
"(399, 818)",0.0
"(157, 480)",0.0
"(422, 901)",0.0
"(918, 998)",0.0
"(31, 855)",0.0
"(4, 214)",0.0
"(188, 417)",0.0
"(61, 640)",0.0
"(118, 348)",0.0
"(331, 334)",0.0
"(321, 600)",0.0
"(319, 897)",0.0
"(320, 899)",0.0
"(388, 1000)",0.0
"(811, 962)",0.0
"(261, 502)",0.0
"(21, 635)",0.0
"(304, 848)",0.0
"(537, 949)",0.0
"(41, 670)",0.0
"(397, 983)",0.0
"(45, 773)",0.0
"(501, 911)",0.0
"(302, 308)",0.0
"(135, 858)",0.0
"(547, 668)",0.0
"(283, 864)",0.0
"(174, 267)",0.0
"(268, 978)",0.0
"(3, 147)",1.0
"(186, 797)",0.0
"(204, 391)",0.0
"(603, 982)",0.0
"(259, 853)",0.0
"(135, 570)",0.0
"(363, 654)",0.0
"(592, 810)",0.0
"(609, 794)",0.0
"(291, 776)",0.0
"(13, 507)",0.0
"(16, 619)",0.0
"(340, 707)",0.0
"(279, 747)",0.0
"(98, 616)",0.0
"(85, 171)",0.0
"(600, 929)",0.0
"(93, 475)",0.0
"(913, 930)",0.0
"(291, 645)",0.0
"(30, 989)",0.0
"(90, 567)",0.0
"(68, 151)",0.0
"(64, 858)",0.0
"(627, 705)",0.0
"(646, 841)",0.0
"(606, 630)",0.0
"(629, 833)",0.0
"(12, 912)",0.0
"(574, 941)",0.0
"(89, 634)",0.0
"(717, 840)",0.0
"(703, 751)",0.0
"(685, 882)",0.0
"(994, 995)",0.0
"(474, 586)",0.0
"(371, 510)",0.0
"(192, 672)",0.0
"(26, 791)",0.0
"(232, 795)",0.0
"(454, 506)",0.0
"(597, 604)",0.0
"(431, 866)",0.0
"(87, 337)",0.0
"(330, 687)",0.0
"(699, 917)",0.0
"(372, 640)",0.0
"(711, 815)",0.0
"(380, 433)",0.0
"(168, 987)",0.0
"(210, 977)",0.0
"(154, 702)",0.0
"(311, 520)",0.0
"(85, 978)",0.0
"(285, 729)",0.0
"(249, 408)",1.0
"(319, 390)",0.0
"(350, 615)",0.0
"(200, 860)",0.0
"(431, 707)",0.0
"(382, 500)",0.0
"(346, 821)",0.0
"(567, 835)",0.0
"(13, 684)",0.0
"(806, 888)",0.0
"(164, 177)",0.0
"(167, 685)",0.0
"(203, 573)",0.0
"(23, 241)",0.0
"(503, 746)",0.0
"(422, 537)",0.0
"(121, 466)",0.0
"(648, 863)",0.0
"(787, 819)",0.0
"(53, 404)",0.0
"(476, 859)",0.0
"(723, 908)",0.0
"(414, 543)",0.0
"(51, 674)",0.0
"(46, 863)",0.0
"(163, 272)",0.0
"(845, 882)",0.0
"(175, 373)",0.0
"(545, 735)",0.0
"(732, 862)",0.0
"(205, 252)",0.0
"(58, 163)",1.0
"(253, 923)",0.0
"(289, 984)",0.0
"(625, 726)",0.0
"(355, 650)",0.0
"(389, 1002)",0.0
"(315, 696)",1.0
"(168, 483)",1.0
"(752, 763)",0.0
"(90, 324)",0.0
"(1, 402)",0.0
"(24, 674)",0.0
"(277, 920)",0.0
"(35, 631)",0.0
"(13, 134)",0.0
"(525, 736)",0.0
"(536, 742)",0.0
"(3, 381)",0.0
"(222, 664)",0.0
"(181, 498)",0.0
"(626, 892)",0.0
"(443, 665)",0.0
"(67, 416)",0.0
"(656, 726)",0.0
"(262, 381)",0.0
"(178, 801)",0.0
"(113, 668)",0.0
"(238, 902)",0.0
"(647, 982)",0.0
"(70, 673)",0.0
"(430, 544)",0.0
"(99, 163)",1.0
"(150, 977)",0.0
"(611, 614)",0.0
"(387, 579)",0.0
"(46, 792)",0.0
"(132, 478)",1.0
"(738, 923)",0.0
"(852, 872)",0.0
"(308, 748)",0.0
"(77, 739)",0.0
"(712, 988)",0.0
"(275, 487)",0.0
"(655, 954)",0.0
"(10, 398)",0.0
"(559, 657)",0.0
"(308, 677)",0.0
"(425, 913)",0.0
"(762, 790)",0.0
"(294, 482)",1.0
"(125, 867)",0.0
"(91, 124)",0.0
"(626, 886)",0.0
"(112, 607)",0.0
"(286, 307)",0.0
"(349, 488)",0.0
"(364, 779)",0.0
"(73, 345)",0.0
"(577, 766)",0.0
"(865, 872)",0.0
"(618, 816)",0.0
"(37, 255)",0.0
"(455, 528)",0.0
"(450, 662)",1.0
"(56, 451)",0.0
"(409, 754)",0.0
"(89, 732)",0.0
"(26, 649)",0.0
"(247, 416)",0.0
"(156, 584)",0.0
"(682, 881)",0.0
"(79, 550)",0.0
"(186, 735)",0.0
"(694, 928)",0.0
"(725, 829)",0.0
"(280, 842)",0.0
"(364, 612)",0.0
"(136, 667)",0.0
"(463, 934)",0.0
"(737, 810)",0.0
"(395, 836)",0.0
"(322, 519)",0.0
"(710, 899)",0.0
"(19, 959)",0.0
"(176, 408)",1.0
"(373, 749)",0.0
"(74, 857)",0.0
"(130, 744)",0.0
"(296, 727)",0.0
"(91, 312)",0.0
"(117, 373)",0.0
"(756, 927)",0.0
"(883, 884)",0.0
"(279, 400)",0.0
"(295, 698)",0.0
"(152, 219)",0.0
"(480, 947)",0.0
"(50, 862)",0.0
"(177, 881)",0.0
"(129, 716)",1.0
"(160, 391)",1.0
"(33, 588)",1.0
"(662, 829)",0.0
"(620, 849)",0.0
"(582, 599)",0.0
"(634, 789)",0.0
"(722, 779)",0.0
"(242, 948)",0.0
"(93, 457)",1.0
"(536, 915)",0.0
"(206, 696)",0.0
"(177, 306)",0.0
"(131, 342)",0.0
"(498, 668)",0.0
"(186, 684)",0.0
"(689, 740)",0.0
"(128, 960)",0.0
"(342, 513)",0.0
"(791, 901)",0.0
"(53, 66)",0.0
"(278, 765)",0.0
"(440, 514)",0.0
"(109, 593)",0.0
"(52, 675)",0.0
"(578, 590)",0.0
"(330, 516)",0.0
"(353, 601)",0.0
"(505, 852)",0.0
"(416, 495)",0.0
"(389, 815)",0.0
"(282, 637)",0.0
"(442, 528)",0.0
"(850, 989)",0.0
"(54, 835)",0.0
"(204, 412)",0.0
"(440, 603)",0.0
"(406, 800)",0.0
"(423, 845)",0.0
"(30, 696)",0.0
"(439, 906)",0.0
"(168, 369)",0.0
"(223, 510)",0.0
"(302, 620)",0.0
"(113, 219)",0.0
"(109, 866)",0.0
"(47, 332)",0.0
"(299, 477)",0.0
"(11, 24)",0.0
"(219, 281)",0.0
"(86, 325)",1.0
"(621, 747)",0.0
"(346, 448)",0.0
"(155, 247)",0.0
"(717, 831)",0.0
"(466, 685)",0.0
"(149, 600)",0.0
"(495, 869)",0.0
"(102, 857)",0.0
"(185, 600)",0.0
"(219, 401)",0.0
"(12, 800)",0.0
"(63, 225)",0.0
"(393, 525)",0.0
"(203, 783)",0.0
"(828, 927)",0.0
"(223, 351)",1.0
"(711, 765)",0.0
"(85, 577)",0.0
"(100, 929)",0.0
"(691, 795)",0.0
"(512, 556)",0.0
"(35, 266)",0.0
"(46, 628)",0.0
"(185, 585)",0.0
"(770, 809)",0.0
"(90, 733)",0.0
"(806, 827)",0.0
"(786, 835)",0.0
"(297, 489)",0.0
"(175, 907)",0.0
"(716, 717)",0.0
"(189, 743)",0.0
"(464, 874)",0.0
"(138, 522)",0.0
"(188, 582)",1.0
"(509, 889)",0.0
"(104, 235)",0.0
"(71, 639)",0.0
"(42, 874)",0.0
"(496, 537)",0.0
"(248, 811)",0.0
"(49, 992)",0.0
"(510, 970)",0.0
"(413, 549)",0.0
"(232, 508)",0.0
"(923, 926)",0.0
"(53, 353)",0.0
"(217, 292)",0.0
"(560, 884)",0.0
"(439, 829)",0.0
"(291, 375)",0.0
"(1, 823)",0.0
"(127, 920)",0.0
"(63, 178)",0.0
"(644, 715)",0.0
"(518, 753)",0.0
"(567, 576)",0.0
"(304, 903)",0.0
"(81, 307)",0.0
"(418, 654)",0.0
"(457, 798)",0.0
"(606, 896)",0.0
"(273, 509)",0.0
"(378, 894)",0.0
"(99, 184)",1.0
"(167, 919)",0.0
"(356, 925)",0.0
"(135, 995)",0.0
"(46, 319)",0.0
"(7, 923)",0.0
"(328, 403)",0.0
"(748, 835)",0.0
"(9, 972)",0.0
"(614, 711)",0.0
"(65, 187)",1.0
"(305, 702)",0.0
"(394, 829)",0.0
"(170, 647)",0.0
"(125, 743)",0.0
"(31, 919)",0.0
"(0, 507)",0.0
"(412, 516)",0.0
"(708, 837)",0.0
"(806, 948)",1.0
"(93, 233)",0.0
"(563, 772)",0.0
"(629, 650)",0.0
"(715, 822)",0.0
"(45, 728)",0.0
"(374, 826)",0.0
"(339, 527)",0.0
"(11, 645)",0.0
"(328, 713)",0.0
"(253, 842)",0.0
"(547, 776)",0.0
"(133, 370)",1.0
"(209, 337)",0.0
"(214, 436)",0.0
"(518, 763)",0.0
"(297, 699)",0.0
"(644, 833)",0.0
"(587, 864)",0.0
"(658, 713)",0.0
"(542, 765)",0.0
"(353, 489)",0.0
"(135, 265)",0.0
"(72, 354)",0.0
"(642, 701)",0.0
"(580, 885)",0.0
"(778, 970)",0.0
"(583, 650)",0.0
"(325, 369)",0.0
"(10, 233)",1.0
"(534, 836)",1.0
"(89, 339)",0.0
"(54, 952)",0.0
"(260, 829)",0.0
"(203, 271)",0.0
"(249, 846)",0.0
"(316, 790)",0.0
"(146, 875)",0.0
"(235, 734)",0.0
"(33, 537)",0.0
"(230, 569)",0.0
"(211, 681)",0.0
"(236, 635)",0.0
"(434, 863)",0.0
"(99, 428)",0.0
"(100, 259)",0.0
"(615, 771)",0.0
"(704, 940)",0.0
"(39, 826)",0.0
"(251, 632)",0.0
"(333, 360)",0.0
"(622, 677)",0.0
"(229, 339)",1.0
"(596, 690)",0.0
"(15, 71)",0.0
"(451, 489)",0.0
"(729, 1001)",0.0
"(198, 506)",0.0
"(552, 584)",0.0
"(37, 377)",0.0
"(120, 996)",0.0
"(294, 924)",0.0
"(454, 663)",0.0
"(9, 38)",0.0
"(795, 836)",0.0
"(136, 241)",0.0
"(915, 987)",0.0
"(543, 671)",0.0
"(94, 171)",0.0
"(174, 630)",0.0
"(572, 628)",0.0
"(247, 731)",0.0
"(409, 645)",0.0
"(351, 600)",0.0
"(525, 779)",0.0
"(438, 819)",0.0
"(892, 994)",0.0
"(57, 871)",0.0
"(98, 437)",0.0
"(83, 721)",0.0
"(6, 842)",0.0
"(27, 196)",0.0
"(413, 724)",0.0
"(109, 782)",0.0
"(112, 213)",0.0
"(482, 573)",0.0
"(168, 817)",1.0
"(22, 891)",0.0
"(151, 752)",0.0
"(227, 535)",0.0
"(109, 291)",0.0
"(495, 874)",0.0
"(115, 467)",1.0
"(827, 927)",0.0
"(690, 880)",0.0
"(132, 908)",0.0
"(405, 447)",0.0
"(284, 489)",0.0
"(408, 912)",0.0
"(572, 756)",0.0
"(59, 72)",0.0
"(0, 733)",0.0
"(548, 591)",0.0
"(42, 854)",0.0
"(245, 863)",0.0
"(221, 634)",0.0
"(531, 587)",0.0
"(221, 981)",0.0
"(35, 297)",0.0
"(3, 333)",1.0
"(228, 833)",0.0
"(766, 986)",0.0
"(764, 788)",0.0
"(555, 663)",0.0
"(584, 926)",0.0
"(523, 853)",0.0
"(30, 650)",0.0
"(47, 660)",0.0
"(500, 534)",0.0
"(352, 941)",0.0
"(111, 868)",0.0
"(79, 555)",0.0
"(614, 716)",0.0
"(139, 450)",0.0
"(565, 756)",0.0
"(25, 237)",0.0
"(32, 174)",0.0
"(649, 744)",0.0
"(520, 831)",0.0
"(356, 465)",0.0
"(163, 509)",1.0
"(5, 339)",1.0
"(306, 777)",1.0
"(206, 976)",0.0
"(202, 594)",0.0
"(70, 790)",0.0
"(608, 936)",0.0
"(137, 405)",1.0
"(156, 309)",0.0
"(476, 701)",0.0
"(312, 390)",0.0
"(385, 423)",0.0
"(464, 864)",0.0
"(57, 488)",0.0
"(158, 752)",0.0
"(200, 684)",0.0
"(804, 863)",0.0
"(10, 693)",0.0
"(693, 848)",0.0
"(862, 977)",0.0
"(114, 898)",0.0
"(120, 955)",0.0
"(321, 962)",0.0
"(148, 687)",0.0
"(278, 616)",0.0
"(855, 917)",0.0
"(936, 940)",0.0
"(291, 605)",0.0
"(668, 722)",0.0
"(655, 750)",0.0
"(595, 607)",0.0
"(8, 741)",0.0
"(9, 980)",0.0
"(634, 731)",0.0
"(813, 981)",0.0
"(423, 660)",0.0
"(733, 928)",0.0
"(31, 987)",0.0
"(314, 569)",0.0
"(276, 643)",0.0
"(408, 650)",0.0
"(330, 676)",0.0
"(585, 894)",0.0
"(91, 921)",0.0
"(110, 275)",0.0
"(230, 711)",0.0
"(604, 625)",0.0
"(208, 975)",0.0
"(385, 722)",0.0
"(242, 832)",0.0
"(15, 87)",1.0
"(281, 829)",0.0
"(224, 776)",0.0
"(638, 887)",0.0
"(189, 207)",0.0
"(355, 658)",0.0
"(492, 800)",0.0
"(22, 304)",0.0
"(292, 824)",0.0
"(391, 665)",0.0
"(375, 925)",0.0
"(119, 535)",0.0
"(259, 397)",0.0
"(318, 351)",0.0
"(239, 881)",0.0
"(329, 741)",0.0
"(820, 882)",0.0
"(92, 970)",0.0
"(88, 797)",0.0
"(57, 338)",0.0
"(843, 905)",0.0
"(477, 633)",0.0
"(306, 839)",0.0
"(116, 869)",0.0
"(368, 861)",0.0
"(916, 956)",0.0
"(250, 774)",0.0
"(626, 631)",0.0
"(171, 653)",0.0
"(418, 708)",0.0
"(212, 986)",0.0
"(177, 354)",0.0
"(495, 621)",0.0
"(439, 893)",0.0
"(146, 656)",0.0
"(4, 318)",1.0
"(70, 482)",0.0
"(603, 625)",0.0
"(562, 994)",0.0
"(541, 973)",0.0
"(28, 188)",1.0
"(131, 798)",0.0
"(485, 583)",0.0
"(18, 618)",0.0
"(692, 921)",0.0
"(59, 264)",0.0
"(729, 966)",0.0
"(476, 878)",0.0
"(125, 450)",0.0
"(114, 572)",0.0
"(148, 476)",0.0
"(572, 953)",0.0
"(62, 641)",0.0
"(837, 896)",0.0
"(546, 1004)",0.0
"(176, 693)",0.0
"(939, 990)",0.0
"(21, 554)",0.0
"(491, 701)",0.0
"(238, 402)",0.0
"(368, 428)",0.0
"(628, 637)",0.0
"(107, 288)",1.0
"(103, 528)",0.0
"(94, 559)",0.0
"(169, 871)",0.0
"(186, 199)",0.0
"(562, 670)",0.0
"(166, 955)",0.0
"(539, 580)",0.0
"(841, 853)",1.0
"(721, 733)",0.0
"(500, 555)",1.0
"(280, 676)",0.0
"(77, 724)",0.0
"(473, 598)",0.0
"(664, 994)",0.0
"(413, 520)",0.0
"(935, 937)",1.0
"(13, 99)",0.0
"(39, 730)",0.0
"(634, 931)",0.0
"(191, 572)",0.0
"(824, 866)",0.0
"(3, 340)",1.0
"(213, 801)",0.0
"(387, 475)",0.0
"(56, 740)",0.0
"(645, 867)",0.0
"(113, 577)",0.0
"(529, 738)",0.0
"(131, 430)",0.0
"(393, 639)",0.0
"(75, 207)",0.0
"(253, 860)",0.0
"(473, 888)",0.0
"(73, 369)",0.0
"(325, 664)",1.0
"(431, 589)",0.0
"(582, 828)",0.0
"(168, 193)",0.0
"(83, 981)",0.0
"(403, 937)",0.0
"(681, 707)",0.0
"(59, 707)",0.0
"(100, 951)",0.0
"(256, 870)",0.0
"(443, 942)",0.0
"(386, 713)",0.0
