,name,grape,region,variety,rating,notes
3799,Beaulieu Vineyard Carneros Chardonnay 1997,,"Carneros, California",White Wine,89.0,"Crisp, citrusy apple-pear aromas that shine brightly throughout and define Carneros Chardonnay. The buttery-soft richness and full body adds a pleasing texture and leads to a lingering finish."
3800,Beaulieu Vineyard Carneros Chardonnay 1999,,"Carneros, California",White Wine,86.0,"Fine yellow-green gold color. The opulent, forward fruit  strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3801,Beaulieu Vineyard Carneros Chardonnay 2000,,"Carneros, California",White Wine,91.0,"Fine yellow-green gold color. The opulent, forward fruit  strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3802,Beaulieu Vineyard Carneros Chardonnay 2002,,"Carneros, California",White Wine,91.0,"Fine yellow-green gold color. The opulent, forward fruit  strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3803,Beaulieu Vineyard Carneros Chardonnay 2004,,"Carneros, California",White Wine,91.0,"Fine yellow-green gold color. The opulent, forward fruit  strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3804,Beaulieu Vineyard Carneros Chardonnay 2007,,"Carneros, California",White Wine,90.0,"Our 2007 Carneros Napa Valley Chardonnay displays vibrant stone fruit—peach, nectarine and apricot—character from our vineyards in the southern, coolest region of Napa Valley. Soft vanilla oak tones add complexity to the fruity aromas, silky flavors and lingering finish."
3805,Beaulieu Vineyard Carneros Chardonnay (half-bottle) 1999,,"Carneros, California",White Wine,86.0,"Medium yellow-gold color. A very intense, minerally, almost Chablis-like perfume greets you on first smelling this wine, the ripe, green apple with pear aromas show a hint of oak-vanilla, but even more one notices the rich minerally taste from the long aging on the lees. The flavors are full-bodied, fleshy, yet balanced by finely judged acidity. Not as noticeably oaky as the 1998 wine, nor as ""fat"" as the 1997, this vintage shows a more balanced, complete character, with succulence balanced by restraint. A very expressive Carneros Chardonnay that should show well for up to three years, and a great wine to serve with richer dishes."
3806,Beaulieu Vineyard Carneros Chardonnay (half-bottle) 2000,,"Carneros, California",White Wine,91.0,"Medium yellow-gold color. A very intense, minerally, almost Chablis-like perfume greets you on first smelling this wine, the ripe, green apple with pear aromas show a hint of oak-vanilla, but even more one notices the rich minerally taste from the long aging on the lees. The flavors are full-bodied, fleshy, yet balanced by finely judged acidity. Not as noticeably oaky as the 1998 wine, nor as ""fat"" as the 1997, this vintage shows a more balanced, complete character, with succulence balanced by restraint. A very expressive Carneros Chardonnay that should show well for up to three years, and a great wine to serve with richer dishes."
3807,Beaulieu Vineyard Carneros Pinot Noir 1999,,"Carneros, California",Red Wine,86.0,"Medium ruby-violet in color, this Pinot Noir is not as dense in flavor as the previous vintage, but is even more aromatic. The smell of ripe black cherries, spice, and a light earthiness are very pronounced. The flavors are silky, round, and full of rich red fruits, overlaid by nuances of black pepper and smoke. The finish is supple, inviting one to have another glass... and another! A delicious example of classic Carneros Pinot Noir, perfect with fish and other subtle dishes."
3808,Beaulieu Vineyard Carneros Pinot Noir 2000,,"Carneros, California",Red Wine,85.0,"Medium ruby-violet in color, this Pinot Noir is not as dense in flavor as the previous vintage, but is even more aromatic. The smell of ripe black cherries, spice, and a light earthiness are very pronounced. The flavors are silky, round, and full of rich red fruits, overlaid by nuances of black pepper and smoke. The finish is supple, inviting one to have another glass... and another! A delicious example of classic Carneros Pinot Noir, perfect with fish and other subtle dishes."
3809,Beaulieu Vineyard Carneros Reserve Chardonnay 1997,,"Carneros, California",White Wine,93.0,"Fine yellow-green gold color. The opulent, forward fruit typical of the 1997 vintage strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3810,Beaulieu Vineyard Carneros Reserve Chardonnay 2000,,"Carneros, California",White Wine,90.0,"Fine yellow-green gold color. The opulent, forward fruit typical of the  vintage strongly manifests itself with rich, pear-honey and vanilla extract aromas, with overtones of fresh herbs and marzipan. Very full, lush flavors reveal integrated, typically Carneros, ripe apple and peachy fruit combined with the spicy vanilla-cinnamon elements of oak. The finish is creamy, round, and toasty, neither ""charry"" nor resiny, the oak finely balanced the powerful fruit. This is a luxuriously textured, high extract wine; a great foil for rich fish dishes, savory chicken, or a veal roast."
3811,Beaulieu Vineyard Carneros Reserve Pinot Noir 1999,,"Carneros, California",Red Wine,91.0,"With this vintage, BV's Reserve Pinot Noir contains our first serious percentage of the new Dijon clone selections, in addition to several of the top BV selections propagated over the past four decades from our vineyards. The result is a wine with a dark ruby-violet color, more so than most Pinot Noirs reveal. The aromas evoke ripe cherry, even black fruits, with a touch of vanilla and black pepper along with spicy oak scents. On the palate, the wine shows medium full body, a rich velvety texture and flavors of dark cherry, game and cocoa. The mid-palate richness and concentration is reminiscent of a fine Cote de Nuits Burgundy, such as Nuits St. Georges. The finish is dense, powerful, slightly tannic still, and suggests the wine will need 4-6 years evolution. Great with roast lamb, game dishes and duck pasta."
3812,Beaulieu Vineyard Carneros Reserve Pinot Noir 2000,,"Carneros, California",Red Wine,87.0,"With this vintage, BV's Reserve Pinot Noir contains our first serious percentage of the new Dijon clone selections, in addition to several of the top BV selections propagated over the past four decades from our vineyards. The result is a wine with a dark ruby-violet color, more so than most Pinot Noirs reveal. The aromas evoke ripe cherry, even black fruits, with a touch of vanilla and black pepper along with spicy oak scents. On the palate, the wine shows medium full body, a rich velvety texture and flavors of dark cherry, game and cocoa. The mid-palate richness and concentration is reminiscent of a fine Cote de Nuits Burgundy, such as Nuits St. Georges. The finish is dense, powerful, slightly tannic still, and suggests the wine will need 4-6 years evolution. Great with roast lamb, game dishes and duck pasta."
3813,Beaulieu Vineyard Ensemble Signet Collection 1998,,"Napa Valley, California",Red Wine,89.0,"Medium intense ruby-violet color. The complex aromas reveal scents of wild cherry, strawberry jam, anise, and mint chocolate and cooked meat. Medium-full bodied, well-centered, spicy blackfruit and dark chocolate flavors are gracefully filled out by hints of black pepper, roast meat and roasted cherries in the finish. There is also a supple mid-palate texture, with ripe but subtle tannins in the firm fresh finish providing relief and style. The 1998 Ensemble drinks well now, but surely will improve with 4-6 years aging."
3814,Beaulieu Vineyard Georges de Latour Private Reserve (1.5 Liter Magnum) 1979,,"Napa Valley, California",Red Wine,90.0,"Medium dark ruby-garnet color similar to 1978. This is a denser and more focused wine than 1978, with fuller fruit, less earthiness, and fine bright cassis flavors. The acidity is still quite good, which emphasizes the berryish fruit. Doesn't have quite the richness of the 1978 but is more stylish and better balanced."
3815,Beaulieu Vineyard Georges de Latour Private Reserve (1.5 Liter Magnum) 1998,,"Napa Valley, California",Red Wine,91.0,"An incredible price on a magnum of this top-tier Napa Valley Cabernet Sauvignon. From what many belive to be a lighter style of vintage, BV did an excelling job with this wine. Drinking beautifully right - very Bordeauxesque. An excellent value, drink this while your 2001 and 2002 George de Latour's are aging in the cellar. "
3816,Beaulieu Vineyard Georges de Latour Private Reserve (1.5 Liter Magnum) 1999,,"Napa Valley, California",Red Wine,91.0,"Dark ruby-violet in color, the 1999 Georges de Latour demonstrates the benefits of judicious green-harvesting during a difficult vintage. Strongly aromatic, the wine reveals classic Rutherford scents of black-cherry, mineral, green and black peppercorn with anise. The flavors are ripe, yet less opulent than in 1998, reflecting the long cool growing season. Rich in berry , mineral , and mild herb flavors, with a supple, lively texture and very fruit forward, the fine, yet firm tannins provide a solid structure to insure at least a decade of improvement is ahead. A youthful hint of vanilla-oak in the finish will harmonize with the rich fruit in time."
3817,Beaulieu Vineyard Georges de Latour Private Reserve (1.5 Liter Magnum) 2008,,"Napa Valley, California",Red Wine,93.0,"Handcrafted with cutting-edge winemaking worthy of our highest quality grapes, the 2008 Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon displays exceptionally complex, harmonious flavors. The deep aromas and expansive flavors are filled with blackberry, cassis, dark plum, mocha, black licorice and sweet, toasted oak spices. Barrel fermentation of a portion of the must (crushed grapes) in French oak barrels resulted in early integration of the opulent dark-fruit and new-oak character. This technique also enhanced the dense, rich texture and gave suppleness to the muscular tannins, while retaining long aging potential. This is our flagship wine to enjoy with life's most important celebrations."
3818,Beaulieu Vineyard Georges de Latour Private Reserve 1969,,"Napa Valley, California",Red Wine,92.0,"""At first, this wine appeared to be sterile, innocuous, and uninteresting, but as if someone magically said the right words, the bouquet began to develop, revealing spicy, cedary, herb, and berry aromas. In the mouth, the wine is medium-bodied, without the glycerin, fat, alcohol, and ripeness of either its predecessor or successor. Nevertheless, I admired this wine's graceful personality and well-balanced feel."" - Robert Parker "
3819,Beaulieu Vineyard Georges de Latour Private Reserve 1976,,"Napa Valley, California",Red Wine,95.0,The Georges de Latour Private Reserve Winery utilizes the latest technology in combination with time-honored traditions for the production of this exceptional wine that has been widely recognized as the benchmark Cabernet Sauvignon from Rutherford since its inaugural vintage in 1940.
3820,Beaulieu Vineyard Georges de Latour Private Reserve 1982,,"Napa Valley, California",Red Wine,90.0,"Medium fully ruby-mahogany color. A still youthfully ripe and berry-mint bouquet heralds a wine still capable of further development. While there is a touch of acidity, the flavors are firm, minerally and laced with lovely Bordeaux-style cedar and black cherry nuances. There is good fruit in the finish, with fine tannins. A wine of structure and intensity without over ripeness."
3821,Beaulieu Vineyard Georges de Latour Private Reserve 1985,,"Napa Valley, California",Red Wine,90.0,The Georges de Latour Private Reserve Winery utilizes the latest technology in combination with time-honored traditions for the production of this exceptional wine that has been widely recognized as the benchmark Cabernet Sauvignon from Rutherford since its inaugural vintage in 1940.
3822,Beaulieu Vineyard Georges de Latour Private Reserve 1987,,"Napa Valley, California",Red Wine,91.0,The Georges de Latour Private Reserve Winery utilizes the latest technology in combination with time-honored traditions for the production of this exceptional wine that has been widely recognized as the benchmark Cabernet Sauvignon from Rutherford since its inaugural vintage in 1940.
3823,Beaulieu Vineyard Georges de Latour Private Reserve 1992,,"Napa Valley, California",Red Wine,89.0,"Medium dark-ruby garnet color. A more ""earthy"" wine, more powerful and structured than the 1991, with chewy tannins, meaty fruit flavors, and a strong, minerally finish. Hints of coffee and mocha from the new oak add dimension and spice, as well as a little sweetness."
3824,Beaulieu Vineyard Georges de Latour Private Reserve 1997,,"Napa Valley, California",Red Wine,92.0,"Nearly opaque, magenta-ruby color. Strong, sweet cassis, blackberry, roasted chestnut and herbal aromas are framed by definitive but not overarching vanilla-oak scents providing additional nuance. Ripe and sweet blackberry cabernet flavors show succulent fruit and mid-palate texture, with full body and ample mouthfeel. Firm but ripe tannins add structural support in the finish. An enjoyable and fleshy wine now, it should age well for two decades or more."
3825,Beaulieu Vineyard Georges de Latour Private Reserve 1999,,"Napa Valley, California",Red Wine,91.0,"Dark ruby-violet in color, the 1999 Georges de Latour demonstrates the benefits of judicious green-harvesting during a difficult vintage. Strongly aromatic, the wine reveals classic Rutherford scents of black-cherry, mineral, green and black peppercorn with anise. The flavors are ripe, yet less opulent than in 1998, reflecting the long cool growing season. Rich in berry , mineral , and mild herb flavors, with a supple, lively texture and very fruit forward, the fine, yet firm tannins provide a solid structure to insure at least a decade of improvement is ahead. A youthful hint of vanilla-oak in the finish will harmonize with the rich fruit in time."
3826,Beaulieu Vineyard Georges de Latour Private Reserve 2001,,"Napa Valley, California",Red Wine,93.0,"Dark, black-ruby color. The aromas reflect classic ""Rutherford dust"" notes of black cherry, loamy mineral-earth tones, and licorice, along with fine new oak vanilla highlights. Medium full-bodied, with deep cherry-mineral, currant –anise flavors, this vintage has a fine veneer of tannins combined with good acidity to support 10-15 years aging. Rich, supple fruit softens the texture. The sweet fragrance and taste of vanilla from the new oak add measurable length and structure in the finish. A fine wine to drink young with grilled steaks, roast leg of lamb with shallots, or a ripe wedge of Fontina or aged Vermont cheddar cheese."
3827,Beaulieu Vineyard Georges de Latour Private Reserve 2002,,"Napa Valley, California",Red Wine,90.0,"Dark, black-ruby color. The aromas reflect classic ""Rutherford dust"" notes of black cherry, loamy mineral-earth tones, and licorice, along with fine new oak vanilla highlights. Medium full-bodied, with deep cherry-mineral, currant –anise flavors, this vintage has a fine veneer of tannins combined with good acidity to support 10-15 years aging. Rich, supple fruit softens the texture. The sweet fragrance and taste of vanilla from the new oak add measurable length and structure in the finish. A fine wine to drink young with grilled steaks, roast leg of lamb with shallots, or a ripe wedge of Fontina or aged Vermont cheddar cheese."
3828,Beaulieu Vineyard Georges de Latour Private Reserve 2004,,"Napa Valley, California",Red Wine,92.0,"Blend: 95% Cabernet Sauvignon, 5% Merlot  "
3829,Beaulieu Vineyard Georges de Latour Private Reserve 2006,,"Napa Valley, California",Red Wine,90.0,"Our 2006 George de Latour Private Reserve Cabernet Sauvignon commemorates the 70th vintage of this exceptional wine. The 1936 George de Latour Private Reserve was the original California private reserve and first wine from Napa Valley to gain international recognition. To this day, it remains the ultimate artistic expression of Cabernet Sauvignon at Beaulieu Vineyard. We use handcrafted detail with small-lot fermentation, a portion of which is executed in barrel, for seamless integration of flavors and rich, silky complexity. "
3830,Beaulieu Vineyard Georges de Latour Private Reserve 2007,,"Napa Valley, California",Red Wine,91.0,"With immense concentration, our 2007 Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon opens with blackberry, cassis and black plum aromas, with mocha, black licorice, graphite and spicy oak nuances. On the palate, these complex notes echo through the expansive, dark-fruit flavors. The texture is dense and rich, framed by muscular, yet velvety, tannins that ensure even more complexity with bottle aging. This is our flagship wine, worthy of pouring for life's most important celebrations."
3831,Beaulieu Vineyard Georges de Latour Private Reserve 2008,,"Napa Valley, California",Red Wine,93.0,"Handcrafted with cutting-edge winemaking worthy of our highest quality grapes, the 2008 Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon displays exceptionally complex, harmonious flavors. The deep aromas and expansive flavors are filled with blackberry, cassis, dark plum, mocha, black licorice and sweet, toasted oak spices. Barrel fermentation of a portion of the must (crushed grapes) in French oak barrels resulted in early integration of the opulent dark-fruit and new-oak character. This technique also enhanced the dense, rich texture and gave suppleness to the muscular tannins, while retaining long aging potential. This is our flagship wine to enjoy with life's most important celebrations."
3832,Beaulieu Vineyard Georges de Latour Private Reserve 2009,,"Napa Valley, California",Red Wine,90.0,"Handcrafted with cutting-edge winemaking worthy of Beaulieu Vineyard's highest quality grapes, the 2009 vintage boasts exceptionally powerful yet elegant flavors. The highly saturated aromas and expansive, richly textured flavors brim with deep blackberry and cassis expression."
3833,Beaulieu Vineyard Georges de Latour Private Reserve 2010,,"Napa Valley, California",Red Wine,93.0,"Combining elegance and power, the 2010 Georges de LatourPrivate Reserve opens with deep, ripe aromas of crushed blackberries, dark cherries, bittersweet chocolate and violets. The highly saturated black-fruit flavors echo the aromas as they expand across the palate and persiston the finish. Nuances of toffee and toasted oak spices, from aging in 100 percent new French oak barrels, add even more complexity. Firm, muscular tannins frame the flavors and enhance the rich texture, while givingpromise of cellar-worthiness."
3834,Beaulieu Vineyard Georges de Latour Private Reserve 2012,,"Napa Valley, California",Red Wine,94.0,"Offering abundant, dark fruit character and inviting, plush texture, our 2012 Georges de Latour Private Reserve Cabernet Sauvignon reflects the warm, sunny and dry growing season. The wine opens with layered aromas of crushed blackberries, dark cherries, bittersweet chocolate and violet. Ripe, muscular tannins support the expansive, dark-fruit flavors, while impeccably balanced acidity adds vibrancy. Complex nuances of toffee and toasted oak spices, from aging in new French oak barrels, heighten the aromas and linger on the persistent finish."
3835,Beaulieu Vineyard Georges de Latour Private Reserve 2013,,"Napa Valley, California",Red Wine,90.0,"The superb 2013 vintage gave the 2013 Georges de Latour Private Reserve Cabernet Sauvignon its unctuous fruit character and dense structure. Hugely complex, the wine reveals a broad spectrum of briary blackberry, black cherry and currant notes, with nuances of violet and bittersweet chocolate. Muscular tannins support the plush, expansive palate, while impeccably balanced acidity adds vibrancy. Integrated caramel and toasted oak spices, from aging in new French oak barrels, heighten the aromas and linger on the finish. "
3836,Beaulieu Vineyard Georges de Latour Private Reserve 2014,,"Napa Valley, California",Red Wine,94.0,"The superb 2014 vintage gave the 2014 Georges de Latour Private Reserve Cabernet Sauvignon its unctuous fruit character and dense structure. Hugely complex, the wine reveals a broad spectrum of briary blackberry, black cherry and currant notes, with nuances of violet and bittersweet chocolate. Muscular tannins support the plush, expansive palate, while impeccably balanced acidity adds vibrancy."
3837,Beaulieu Vineyard Georges de Latour Private Reserve (375ML half-bottle) 1995,,"Napa Valley, California",Red Wine,93.0,"The 1995 Georges de Latour Private Reserve Cabernet Sauvignon is a wine of great elegance, grace, power and depth. This wine has an intense varietal character as well as an abundance of fruit with aromas of black cherry, currants and the distinctive Rutherford Dust bouquet. The palate is chock full of flavors of berry fruit, black olives, toasty oak and red currants finishing with a smooth, lingering aftertaste. It is a complete wine from our best vineyards crafted by our winemaker. This wine drinks well at release but will reward the patience of someone who chooses to age it for 5 or more years."
3838,Beaulieu Vineyard Georges de Latour Private Reserve (375ML half-bottle) 1997,,"Napa Valley, California",Red Wine,94.0,"Nearly opaque, magenta-ruby color. Strong, sweet cassis, blackberry, roasted chestnut and herbal aromas are framed by definitive but not overarching vanilla-oak scents providing additional nuance. Ripe and sweet blackberry cabernet flavors show succulent fruit and mid-palate texture, with full body and ample mouthfeel. Firm but ripe tannins add structural support in the finish. An enjoyable and fleshy wine now, it should age well for two decades or more."
3839,Beaulieu Vineyard Napa Cabernet Sauvignon 1998,,"Napa Valley, California",Red Wine,87.0,"Dark ruby color. Classic mint-cassis and cherry Cabernet aromas are highlighted by distinctive earth or loam scents. Medium-bodied, with ripe cherry, mint-chocolate flavors, the wine currently shows a firm structure with fine tannins and good acidity, along with a touch of warmth from the ripe fruit. Still a juvenile, this wine will benefit greatly from 2-4 years in bottle before drinking."
3840,Beaulieu Vineyard Napa Cabernet Sauvignon 2003,,"Napa Valley, California",Red Wine,90.0,"""Here's a steal: a rich, chewy, blackberry-scented cabernet..."""
3841,Beaulieu Vineyard Napa Cabernet Sauvignon 2005,,"Napa Valley, California",Red Wine,90.0,"Dark ruby-black color. Lovely herbal, black cherry, plum, cassis and dark chocolate aromas. Medium full-bodied, with lush berry, anise and jam flavors, balanced by sweet lush fruit and supple tannins.  "
3842,Beaulieu Vineyard Napa Cabernet Sauvignon 2006,,"Napa Valley, California",Red Wine,92.0,"A Bordeaux blend of 93% Cabernet Sauvignon, 5% Merlot, 1% Cabernet Franc, .5% Malbec and .5% Petit Verdot."
3843,Beaulieu Vineyard Napa Cabernet Sauvignon 2008,,"Napa Valley, California",Red Wine,87.0,"Our 2008 Beaulieu Vineyard Napa Valley Cabernet Sauvignon is loaded with lush blackberry and black-currant character, with nuances of red plum and cedar box. Hints of vanilla and smoky oak spice elevate the rich aromas and add complexity to the bright, beautifully balanced flavors. Vineyards with distinctly different terroirs create the wine's symphony of flavors and velvety texture. With its firm structure, this Cabernet Sauvignon complements full-flavored cuisine, such as garlic and rosemary grilled lamb chops, medallions of beef tenderloin, portabella mushrooms with polenta, or aged Gouda with walnut toasts."
3844,Beaulieu Vineyard Napa Cabernet Sauvignon (half-bottle) 1998,,"Napa Valley, California",Red Wine,87.0,"Full ruby-black color. Distinctive Napa Valley Cabernet aromas of cassis, blackcherry, minerals and plumskin, with hints of oak vanilla and tea. Medium full-bodied, with elements of blackcurrant and vanilla, plum and cherry flavors, enveloped by soft tannins, full texture, and a spicy, minerally finish. Theres a lot of style and substance, as well as elegance, considering the power and ripeness of the 97 vintage"
3845,Beaulieu Vineyard Napa Sauvignon Blanc 2000,,"Napa Valley, California",White Wine,86.0,"Light straw-green color. In light of BVs French heritage, our Sauvignon Blanc shows Graves-like aromas of herbs, lemon, flinty earthiness and coconut-vanilla from the oak. Good acidity lends finesse to the fine mineral-citrus flavors. Bright yet intense, this is a wine that should improve in the bottle for 4-5 years."
3846,Beaulieu Vineyard Napa Valley Merlot 1998,,"Napa Valley, California",Red Wine,85.0,"Fine deep ruby color.  The very true varietal Merlot aromas of blackberry, herbs, cedar and mocha are highlighted by just enough toasty new oak to add subtle, smoky nuances.  Medium full bodied, the flavors reveal moderately intense cherry fruit, some licorice and coffee, and a hint of herbs or anise in the finish.  Mild tannins and moderate acidity add relief and give the wine a firm but rich finish adding immensely to its enjoyment with a wide range of meat, fowl, or pasta dishes."
3847,Beaulieu Vineyard Napa Valley Merlot 2001,,"Napa Valley, California",Red Wine,90.0,"""This wonderfully supple and rewarding Merlot offers satisfaction throughout. It's richly colored, witha  velvety texture that carries waves of currant, olive, chocolate and sweet oak flavors wrapped in soft tannins."""
3848,Beaulieu Vineyard Napa Zinfandel 1995,,"Napa Valley, California",Red Wine,91.0,#76 
3849,Beaulieu Vineyard Napa Zinfandel 1999,,"Napa Valley, California",Red Wine,85.0,"A big rich and juicy wine, a Zin not for the faint of heart but for those who love FLAVOR! Ripe, blackberry and bing cherry aromas leap out of the glass. Full, fleshy flavors show rich fruit extract, soft tannins, and a wonderful purity of fruit, while the alcohol adds a distinctive velvety texture. Some moderate youthful tannins suggest that a year or two in the bottle will do wonders. Drink with all manner of full-flavored, but not too spicy dishes."
3850,Beaulieu Vineyard Napa Zinfandel 2000,,"Napa Valley, California",Red Wine,90.0,"A big rich and juicy wine, a Zin not for the faint of heart but for those who love FLAVOR! Ripe, blackberry and bing cherry aromas leap out of the glass. Full, fleshy flavors show rich fruit extract, soft tannins, and a wonderful purity of fruit, while the alcohol adds a distinctive velvety texture. Some moderate youthful tannins suggest that a year or two in the bottle will do wonders. Drink with all manner of full-flavored, but not too spicy dishes."
3851,Beaulieu Vineyard Reserve Tapestry 1995,,"Napa Valley, California",Red Wine,91.0,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc, and Petit Verdot, the 1995 Cabernet Sauvignon Tapestry Reserve exhibits a toasty, French oak-dominated nose with licorice and black fruits in the background. At present, the wood has the upper hand. This dark ruby/purple-colored wine exhibits a smoky, black fruit personality, medium body, aggressive tannin, sweet fruit in the mid-palate, and fine purity in the finish."
3852,Beaulieu Vineyard Reserve Tapestry 1996,,"Napa Valley, California",Red Wine,92.0,"Dark ruby color. This wine has a quite concentrated bouquet with scents of currant and cherry, black olive and herbs, vanilla-oak and roasted red peppers. Rich, mineral-inflected flavors show lots of ripe cherry, coffee and licorice. Firm but not harsh in the mid-palate, with supple tannins and integrated vanilla-oak, the 1996 Tapestry tastes fine now, but should age well for at least a decade, the sweeter, more gentle Merlot softening some of the more powerful Cabernet tannins."
3853,Beaulieu Vineyard Reserve Tapestry 1999,,California,Red Wine,89.0,"Dark ruby in color, the 1999 Tapestry's aromas evoke scents of black cherry, herbs, vanilla-oak and some black pepper. Medium-full bodied, the wine's fruit flavors are at the forefront; cherry and blackcurrant, followed by nuances of licorice, dark chocolate and peppercorn. Fleshy yet backed by firm, ripe tannins, the finish shows some torrefaction notes from the oak now, but should evolve gracefully with 4-7 years in the bottle."
3854,Beaulieu Vineyard Reserve Tapestry 2001,,"Napa Valley, California",Red Wine,92.0,"Dark ruby in color, the Tapestry's aromas evoke scents of black cherry, herbs, vanilla-oak and some black pepper. Medium-full bodied, the wine's fruit flavors are at the forefront; cherry and blackcurrant, followed by nuances of licorice, dark chocolate and peppercorn. Fleshy yet backed by firm, ripe tannins, the finish shows some torrefaction notes from the oak now, but should evolve gracefully with 4-7 years in the bottle."
3855,Beaulieu Vineyard Reserve Tapestry 2002,,"Napa Valley, California",Red Wine,90.0,"Classic black-ruby color typical of this blend. Ripe, brambly, coffee and black cherry aromas showcase the varietal, while black olive and dark cocoa scents suggest the wine's Rutherford origin. Medium full-body and firm structure dominant, with the cherry-plum and herb Merlot adding nuance in the finish. Chewy tannins, fine minerality, with vanilla oak-spice adding an elegant touch of sweetness."
3856,Beaulieu Vineyard Reserve Tapestry 2004,,"Napa Valley, California",Red Wine,90.0,"The 2004 Beaulieu Vineyard Reserve Tapestry weaves five classic varietals — Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot and Malbec — into an elegant, beautifully balanced wine. The deep, expressive aromas and flavors are filled with black cherry, briary blackberry, cassis, dark cocoa and cedar character. Pre-fermentation maceration, gentle punch downs in open-top fermenters and in-barrel malolactic fermentation all contributed to the wine's richly textured flavors.  "
3857,Beaulieu Vineyard Reserve Tapestry 2005,,"Napa Valley, California",Red Wine,92.0,"A Bordeaux blend of 80% Cabernet Sauvignon, 12% Merlot, 4% Cabernet Franc, 2% Malbec and 2% Petit Verdot."
3858,Beaulieu Vineyard Reserve Tapestry 2006,,"Napa Valley, California",Red Wine,92.0,"The 2006 Beaulieu Vineyard Reserve Tapestry weaves five classic Bordeaux varietals--Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot and Malbec--into an elegant, beautifully balanced wine. First crafted in 1990 as a complement to the Georges de Latour Private Reserve Cabernet Sauvignon, the Reserve Tapestry laces blueberry and Bing cherry through the rich core of blackberry and dark currant, accented by cocoa and toast. In the mouth, the ripe fruit fans out, reaching all points of the palate, and then delves into a long, persistent finish. The tapestry of aromas and flavors apparent in this wine come from handcrafted care from vine to glass. Pre-fermentation maceration, gentle punch-downs and in-barrel malolactic fermentation helped build the layers and nuances of this multidimensional wine. Winemaker Jeffrey Stambor then blended the lots into a well-integrated wine that astutely balances intensity and approachability."
3859,Beaulieu Vineyard Reserve Tapestry 2007,,"Napa Valley, California",Red Wine,90.0,"The 2007 Beaulieu Vineyard Reserve Tapestry weaves together five classic varietals into an opulent, complex wine. The deep, expressive aromas and flavors offer generous layers of black cherry, briary blackberry and cassis character. Enticing floral, licorice, forest loam and graphite nuances are revealed as the aromas open and the flavors expand across the velvety palate. Tapestry elegantly demonstrates the art of blending varietals to create a wine that combines lush, multilayered flavors with supple, graceful tannin structure."
3860,Beaulieu Vineyard Reserve Tapestry 2008,,"Napa Valley, California",Red Wine,91.0,"Weaving together five classic varietals, our 2008 Beaulieu Vineyard Reserve Tapestry begins with deep, briary blackberry and cassis character from Cabernet Sauvignon. Velvety black-cherry character comes from a generous blending of Merlot, while Cabernet Franc, Malbec and Petit Verdot add violet, licorice, forest loam and graphite nuances, as well as deep hues and texture. Tapestry elegantly demonstrates the art of blending varietals to create a wine that combines multilayered flavors with supple, graceful tannin structure."
